0.1,0.174,0.96,0.4
0.1,0.189,0.87,0.2
0.2,0.185,1.1,0.4
0.2,0.195,1.04,0.3
0.1,0.149,0.61,0.3
0.1,0.189,1.04,0.3
0.1,0.147,0.92,0.5
0.1,0.154,1.11,0.5
0.1,0.174,0.9,0.3
0.2,0.169,1.03,0.4
0.1,0.195,0.81,0.2
0.2,0.159,0.8,0.4
0.2,0.192,1.01,0.3
0.1,0.155,0.51,0.2
0.1,0.191,0.79,0.2
0.2,0.153,1.07,0.5
0.2,0.157,1.1,0.5
0.1,0.14,1.29,0.5
0.1,0.144,1.45,0.5
0.1,0.172,1.39,0.5
0.1,0.157,1.1,0.5
0.2,0.153,1.49,0.5
0.2,0.169,0.97,0.4
0.1,0.185,1.39,0.5
0.2,0.172,0.67,0.2
0.2,0.151,0.64,0.3
0.1,0.19,0.95,0.3
0.1,0.187,0.62,0.1
0.2,0.163,1.59,0.5
0.1,0.179,1.52,0.5
0.1,0.153,1.21,0.5
0.1,0.178,0.52,0.1
0.2,0.195,0.65,0.1
0.2,0.16,1.31,0.5
0.2,0.157,1.53,0.5
0.2,0.189,1.32,0.4
0.2,0.197,1.14,0.3
0.1,0.144,0.8,0.4
0.2,0.171,1.52,0.5
0.2,0.185,0.81,0.2
0.2,0.175,1.2,0.4
0.2,0.149,1.08,0.5
0.1,0.157,0.56,0.2
0.1,0.161,1.18,0.5
0.2,0.182,1.26,0.4
0.1,0.185,0.76,0.2
0.2,0.188,1.22,0.4
0.1,0.181,1.11,0.4
0.1,0.161,0.72,0.3
0.1,0.14,1.52,0.5
0.2,0.168,1.35,0.5
0.2,0.176,0.54,0.1
0.1,0.163,1.1,0.5
0.1,0.172,1.05,0.4
0.1,0.196,1.16,0.4
0.2,0.187,0.89,0.3
0.1,0.172,0.92,0.4
0.1,0.178,1.27,0.5
0.2,0.164,0.7,0.3
0.1,0.143,0.88,0.5
0.2,0.191,0.54,0
0.2,0.141,1.43,0.5
0.1,0.193,0.54,0
0.1,0.19,0.83,0.2
0.1,0.175,1.35,0.5
0.2,0.179,1.58,0.5
0.2,0.172,0.96,0.4
0.2,0.168,0.59,0.2
0.2,0.164,0.82,0.4
0.2,0.194,1.36,0.4
0.2,0.153,0.51,0.2
0.1,0.178,1.17,0.4
0.1,0.141,0.8,0.5
0.1,0.18,0.75,0.2
0.2,0.185,1,0.3
0.2,0.197,1.54,0.4
0.1,0.165,1.04,0.4
0.2,0.168,0.9,0.4
0.2,0.176,1.22,0.4
0.1,0.181,0.51,0
0.1,0.164,0.75,0.3
0.2,0.166,1.4,0.5
0.2,0.19,1.05,0.3
0.1,0.186,1.18,0.4
0.1,0.168,1.23,0.5
0.1,0.198,0.5,0
0.2,0.175,1.41,0.5
0.1,0.145,1.17,0.5
0.2,0.159,1.04,0.5
0.2,0.185,1.4,0.5
0.2,0.178,1.54,0.5
0.2,0.183,0.96,0.3
0.2,0.194,1.11,0.3
0.1,0.177,0.61,0.2
0.1,0.197,1.19,0.4
0.2,0.17,1.56,0.5
0.1,0.142,0.69,0.4
0.1,0.16,1.39,0.5
0.1,0.195,0.69,0.1
0.2,0.19,0.5,0
0.1,0.199,1.56,0.4
0.1,0.154,1.05,0.5
0.1,0.161,1.55,0.5
0.2,0.198,1.45,0.4
0.2,0.192,1.4,0.4
0.1,0.195,1.26,0.4
0.1,0.166,1.6,0.5
0.1,0.159,1.54,0.5
0.2,0.181,1.06,0.4
0.1,0.149,0.66,0.3
0.2,0.15,0.7,0.4
0.2,0.146,1.57,0.5
0.1,0.19,1.35,0.4
0.2,0.192,0.9,0.2
0.2,0.177,0.96,0.4
0.1,0.148,0.6,0.3
0.2,0.165,0.57,0.2
0.2,0.146,1.04,0.5
0.1,0.144,1.08,0.5
0.2,0.176,1.56,0.5
0.2,0.168,0.87,0.4
0.1,0.187,1.22,0.4
0.1,0.187,1.38,0.4
0.2,0.184,1.6,0.5
0.2,0.158,1.49,0.5
0.1,0.158,0.96,0.4
0.1,0.194,1.15,0.4
0.2,0.145,0.79,0.4
0.1,0.182,1.51,0.5
0.1,0.154,0.54,0.2
0.2,0.168,1.39,0.5
0.2,0.187,0.7,0.2
0.2,0.158,1.53,0.5
0.2,0.167,1.1,0.4
0.2,0.171,1.55,0.5
0.2,0.183,1.5,0.5
0.2,0.19,1.56,0.5
